"ID","quantity","glassWidth","glassLength","glassType","location",
"387","1","24","48","313","25",
"388","1","24","21","278","25",
"389","1","24","14","431","25",
"390","1","24","17","352","25",
"599","1","18","10","68","16",
"393","1","20","24","327","25",
"394","1","18","23","205","25",
"395","1","10","16","328","25",
"396","1","6","23","328","25",
"397","1","16","17","333","25",
"398","1","13","24","326","25",
"399","1","15","23","328","25",
"400","1","21","16","205","25",
"401","1","18","20","367","38",
"402","1","9","9","328","38",
"403","1","24","19","335","34",
"404","1","18","17","411","22",
"405","1","22","28","405","22",
"406","1","22","14","408","22",
"407","1","10","6","407","22",
"408","1","10","14","396","22",
"409","1","10","8","396","22",
"410","1","8","8","405","22",
"411","1","9","11","112","16",
"413","1","18","13","104","16",
"414","1","28","21","50","18",
"415","1","12","16","273","24",
"416","1","13","15","273","24",
"417","2","9","16","273","24",
"418","1","22","9","273","24",
"419","1","18","10","273","24",
"421","1","24","26","208","25",
"422","1","8","8","156","19",
"423","1","15","9","222","19",
"424","1","18","16","368","14",
"723","1","19","12",,,
"725","1",,,,,
"680","1","10","11","147","37",
"437","7","22","15","179","36",
"438","1","22","13","179","36",
"439","1","22","14","179","36",
"440","1","22","6","179","36",
"442","1","22","8","179","36",
"443","1","10","14","179","36",
"444","1","10","7","179","36",
"445","1","22","5","179","36",
"446","1","20","13","179","36",
"447","1","24","14","179","36",
"448","1","20","14","179","36",
"449","1","22","10","179","36",
"450","1","18","9","179","36",
"451","1","22","11","179","36",
"452","1","12","12","179","36",
"453","1","22","4","179","36",
"454","1","22","12","179","36",
"455","1","10","13","169","36",
"458","1","7","9","226","16",
"459","1","6","17","156","20",
"460","1","4","9","230","20",
"461","1","22","25","233","20",
"462","1","13","19","233","20",
"681","1","9","18","376","37",
"464","1","5","5","156","20",
"465","1","12","4","156","20",
"466","1","9","12","317","38",
"467","1","11","18","317","38",
"468","1","16","16","274","37",
"469","1","9","12","195","37",
"470","1","15","23","234","23",
"471","1","14","10","272","24",
"472","1","20","15","370","24",
"473","1","8","16","370","24",
"474","1","10","20","370","24",
"475","1","22","14","273","24",
"476","1","21","16","378","22",
"477","1","12","17","390","22",
"478","1","16","24","250","22",
"479","1","16","12","274","37",
"480","1","15","21","54","18",
"481","1","24","17","221","18",
"482","1","12","10","27","18",
"483","1","16","17","272","24",
"484","1","18","23","202","12",
