"ID","symbol","color","description","manufacturer","glassImage",
"216","222-72sf","green","paste; green solid opalescent","spectrum","[object Image]",
"217","226-72sf","green","lemongrass opal","spectrum","[object Image]",
"218","226-74sf","green","amazon green solid opalexcent","spectrum","[object Image]",
"219","228-72sf","green","celadon opal","spectrum","[object Image]",
"220","325-2s","green","white / light green","spectrum","[object Image]",
"221","329-1s","green","Pale  green / white wispy","spectrum","[object Image]",
"222","329-2s","green","light green / white wispy","spectrum","[object Image]",
"223","329-6s","green","dark green / white wispy","spectrum","[object Image]",
"224","402-94sf","green","amazon green / wispy","spectrum","[object Image]",
"225","422-1w","green","deep olive / sea green waterglass","spectrum","[object Image]",
"226","423-1w","green","pale green / aqua blue waterglass","spectrum","[object Image]",
"227","523-2a","green","teal artique","spectrum","[object Image]",
"228","523-2sf","green","teal green rough rolled","spectrum","[object Image]",
"229","528-1sf","green","sea green solid transparent","spectrum","[object Image]",
"230","528-1w","green","sea green waterglass","spectrum","[object Image]",
"231","528-2sf","green","light olive","spectrum","[object Image]",
"232","528-4sf","green","olive green rough rolled","spectrum","[object Image]",
"233","6021-86cc","green","clear / white / green / brown ""rainforest""","spectrum","[object Image]",
"234","6022-82cc","green","clear / white / olive / moss ""Congo""","spectrum","[object Image]",
"235","6023-83cc","green","clear / white / aqua / lime","spectrum","[object Image]",
"236","6024-84cc","green","clear / white / teal / rose ""teal rose","spectrum","[object Image]",
"237","623-7s","green","white / dark green / blue","spectrum","[object Image]",
"238","823-71s","green","lime green / white","spectrum","[object Image]",
"239","828-91s","green","sea green green / white wispy","spectrum","[object Image]",
"240","826-71s","green","lime green / white","spectrum","[object Image]",
"241","ko142","green","green / blue opalescent ","kokomo",,
"242","ko13","green","green / yellow opalescent","kokomo",,
"243","ko106N","Green","green / red / yellow","kokomo",,
"244","ko37","blue","blue white","kokomo",,
"245","ko70","blue","blue / green streaky","kokomo",,
"246","ko142ll","green","green / blue granite","kokomo",,
"247","ko125","blue","turquoise blue opal","kokomo",,
"248","ko181","amber","lighter amber","kokomo",,
"249","843-92s","purple","light grape white wispy","spectrum","[object Image]",
"250","834-92s","purple","light violet / white wispy","spectrum","[object Image]",
"251","6061-81cc","yellow","clear / white / yellow / amber ""meadowlark""","spectrum","[object Image]",
"252","ko49","amber","carmel opalume, lime green, brown","kokomo",,
"253","ko11g","amber","medium amber, opal","kokomo",,
"254","wi45cla","amber","medium amber cathedral classic","wismach",,
"255","ar2318","amber","light amber / opal / wispy","armstrong",,
"256","gna7228","amber","medium amber german new antique","gna",,
"257","ar2418","amber","dark brown / opal / streaky","armstrong",,
"258","em4917","amber","regency gold","english mubble",,
"259","151rr","red","cherry red rough rolled","spectrum","[object Image]",
"260","151s","red","cherry red solid transparent","spectrum","[object Image]",
"261","151sf","red","cherry red solid transparent","spectrum","[object Image]",
"262","151sfl","red","cherry red solid transparent thin","spectrum","[object Image]",
"263","151w","red","cherry red waterglass","spectrum","[object Image]",
"264","152a","red","ruby red artique","spectrum","[object Image]",
"265","152g","red","ruby red solid granite","spectrum","[object Image]",
